name,slug,value,date_of_information,ranking,region
"Monaco","monaco","89.52","","1","Europe"
"Singapore","singapore","86.35","","2","East and Southeast Asia"
"Macau","macau","84.98","","3","East and Southeast Asia"
"Japan","japan","84.83","","4","East and Southeast Asia"
"San Marino","san-marino","83.86","","5","Europe"
"Canada","canada","83.80","","6","North America"
"Iceland","iceland","83.64","","7","Europe"
"Hong Kong","hong-kong","83.61","","8","East and Southeast Asia"
"Andorra","andorra","83.42","","9","Europe"
"Israel","israel","83.35","","10","Middle East"
"Guernsey","guernsey","83.23","","11","Europe"
"Switzerland","switzerland","83.23","","12","Europe"
"Malta","malta","83.20","","13","Europe"
"Australia","australia","83.09","","14","Australia and Oceania"
"Luxembourg","luxembourg","82.98","","15","Europe"
"Korea, South","korea-south","82.97","","16","East and Southeast Asia"
"Sweden","sweden","82.70","","17","Europe"
"Jersey","jersey","82.63","","18","Europe"
"France","france","82.59","","19","Europe"
"Italy","italy","82.59","","20","Europe"
"Liechtenstein","liechtenstein","82.56","","21","Europe"
"Norway","norway","82.55","","22","Europe"
"Spain","spain","82.55","","23","Europe"
"New Zealand","new-zealand","82.54","","24","Australia and Oceania"
"Austria","austria","82.27","","25","Europe"
"Anguilla","anguilla","82.20","","26","Central America and the Caribbean"
"Netherlands","netherlands","82.16","","27","Europe"
"Bermuda","bermuda","82.04","","28","North America"
"Cayman Islands","cayman-islands","82.04","","29","Central America and the Caribbean"
"Isle of Man","isle-of-man","82.04","","30","Europe"
"United Kingdom","united-kingdom","81.94","","31","Europe"
"Belgium","belgium","81.86","","32","Europe"
"Slovenia","slovenia","81.82","","33","Europe"
"Finland","finland","81.76","","34","Europe"
"Puerto Rico","puerto-rico","81.68","","35","Central America and the Caribbean"
"Denmark","denmark","81.66","","36","Europe"
"Ireland","ireland","81.66","","37","Europe"
"Germany","germany","81.51","","38","Europe"
"Portugal","portugal","81.50","","39","Europe"
"Greece","greece","81.49","","40","Europe"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","81.41","","41","North America"
"Faroe Islands","faroe-islands","81.26","","42","Europe"
"Taiwan","taiwan","81.16","","43","East and Southeast Asia"
"Turks and Caicos Islands","turks-and-caicos-islands","80.82","","44","Central America and the Caribbean"
"Wallis and Futuna","wallis-and-futuna","80.67","","45","Australia and Oceania"
"United States","united-states","80.59","","46","North America"
"Saint Barthelemy","saint-barthelemy","80.58","","47","Central America and the Caribbean"
"Saint Martin","saint-martin","80.58","","48","Central America and the Caribbean"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","80.48","","49","Africa"
"Gibraltar","gibraltar","80.42","","50","Europe"
"Virgin Islands","virgin-islands","80.27","","51","Central America and the Caribbean"
"Bahrain","bahrain","79.90","","52","Middle East"
"Qatar","qatar","79.81","","53","Middle East"
"Chile","chile","79.79","","54","South America"
"Cyprus","cyprus","79.74","","55","Europe"
"Czechia","czechia","79.73","","56","Europe"
"British Virgin Islands","british-virgin-islands","79.67","","57","Central America and the Caribbean"
"Costa Rica","costa-rica","79.64","","58","Central America and the Caribbean"
"Cuba","cuba","79.64","","59","Central America and the Caribbean"
"United Arab Emirates","united-arab-emirates","79.56","","60","Middle East"
"Albania","albania","79.47","","61","Europe"
"Curacao","curacao","79.42","","62","Central America and the Caribbean"
"Sint Maarten","sint-maarten","79.26","","63","Central America and the Caribbean"
"Kuwait","kuwait","79.13","","64","Middle East"
"Saint Lucia","saint-lucia","78.95","","65","Central America and the Caribbean"
"New Caledonia","new-caledonia","78.83","","66","Australia and Oceania"
"Lebanon","lebanon","78.76","","67","Middle East"
"Poland","poland","78.76","","68","Europe"
"Barbados","barbados","78.55","","69","Central America and the Caribbean"
"French Polynesia","french-polynesia","78.43","","70","Australia and Oceania"
"Uruguay","uruguay","78.43","","71","South America"
"Brunei","brunei","78.38","","72","East and Southeast Asia"
"Paraguay","paraguay","78.37","","73","South America"
"Argentina","argentina","78.31","","74","South America"
"Slovakia","slovakia","78.31","","75","Europe"
"Dominica","dominica","78.21","","76","Central America and the Caribbean"
"Algeria","algeria","78.03","","77","Africa"
"Aruba","aruba","78.01","","78","Central America and the Caribbean"
"Ecuador","ecuador","78.00","","79","South America"
"Sri Lanka","sri-lanka","78.00","","80","South Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","77.98","","81","Europe"
"Estonia","estonia","77.88","","82","Europe"
"Antigua and Barbuda","antigua-and-barbuda","77.80","","83","Central America and the Caribbean"
"Montenegro","montenegro","77.75","","84","Europe"
"China","china","77.72","","85","East and Southeast Asia"
"Thailand","thailand","77.66","","86","East and Southeast Asia"
"Panama","panama","77.62","","87","Central America and the Caribbean"
"Tonga","tonga","77.53","","88","Australia and Oceania"
"Georgia","georgia","77.50","","89","Middle East"
"Guam","guam","77.50","","90","Australia and Oceania"
"Croatia","croatia","77.22","","91","Europe"
"Hungary","hungary","77.20","","92","Europe"
"Libya","libya","77.18","","93","Africa"
"Cook Islands","cook-islands","77.14","","94","Australia and Oceania"
"Saint Kitts and Nevis","saint-kitts-and-nevis","77.08","","95","Central America and the Caribbean"
"Maldives","maldives","76.94","","96","South Asia"
"Oman","oman","76.90","","97","Middle East"
"North Macedonia","north-macedonia","76.84","","98","Europe"
"Tunisia","tunisia","76.82","","99","Africa"
"Solomon Islands","solomon-islands","76.70","","100","Australia and Oceania"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","76.68","","101","Central America and the Caribbean"
"Saudi Arabia","saudi-arabia","76.65","","102","Middle East"
"Northern Mariana Islands","northern-mariana-islands","76.58","","103","Australia and Oceania"
"West Bank","west-bank","76.38","","104","Middle East"
"Turkey (Turkiye)","turkey-turkiye","76.21","","105","Middle East"
"Armenia","armenia","76.13","","106","Middle East"
"Bahamas, The","bahamas-the","76.13","","107","Central America and the Caribbean"
"Malaysia","malaysia","76.13","","108","East and Southeast Asia"
"Seychelles","seychelles","76.10","","109","Africa"
"Jordan","jordan","76.01","","110","Middle East"
"Trinidad and Tobago","trinidad-and-tobago","75.94","","111","Central America and the Caribbean"
"Brazil","brazil","75.92","","112","South America"
"Latvia","latvia","75.91","","113","Europe"
"Belize","belize","75.82","","114","Central America and the Caribbean"
"Lithuania","lithuania","75.78","","115","Europe"
"Jamaica","jamaica","75.75","","116","Central America and the Caribbean"
"Romania","romania","75.75","","117","Europe"
"Grenada","grenada","75.74","","118","Central America and the Caribbean"
"Montserrat","montserrat","75.70","","119","Central America and the Caribbean"
"Bulgaria","bulgaria","75.57","","120","Europe"
"Vietnam","vietnam","75.52","","121","East and Southeast Asia"
"Gaza Strip","gaza-strip","75.40","","122","Middle East"
"El Salvador","el-salvador","75.37","","123","Central America and the Caribbean"
"American Samoa","american-samoa","75.32","","124","Australia and Oceania"
"Uzbekistan","uzbekistan","75.29","","125","Central Asia"
"Iran","iran","75.25","","126","Middle East"
"Samoa","samoa","75.19","","127","Australia and Oceania"
"Honduras","honduras","75.17","","128","Central America and the Caribbean"
"Vanuatu","vanuatu","75.14","","129","Australia and Oceania"
"Colombia","colombia","74.89","","130","South America"
"Mauritius","mauritius","74.86","","131","Africa"
"Nicaragua","nicaragua","74.78","","132","Central America and the Caribbean"
"Bangladesh","bangladesh","74.70","","133","South Asia"
"Marshall Islands","marshall-islands","74.65","","134","Australia and Oceania"
"Palau","palau","74.64","","135","Australia and Oceania"
"Egypt","egypt","74.45","","136","Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","74.44","","137","Australia and Oceania"
"Belarus","belarus","74.28","","138","Europe"
"Syria","syria","74.28","","139","Middle East"
"Fiji","fiji","74.27","","140","Australia and Oceania"
"Serbia","serbia","74.17","","141","Europe"
"Azerbaijan","azerbaijan","74.15","","142","Middle East"
"Greenland","greenland","73.98","","143","North America"
"Cabo Verde","cabo-verde","73.75","","144","Africa"
"Morocco","morocco","73.68","","145","Africa"
"Ukraine","ukraine","73.45","","146","Europe"
"Venezuela","venezuela","73.29","","147","South America"
"Iraq","iraq","73.18","","148","Middle East"
"Indonesia","indonesia","73.08","","149","East and Southeast Asia"
"Guatemala","guatemala","72.91","","150","Central America and the Caribbean"
"Dominican Republic","dominican-republic","72.56","","151","Central America and the Caribbean"
"Kazakhstan","kazakhstan","72.53","","152","Central Asia"
"Bolivia","bolivia","72.50","","153","South America"
"Malawi","malawi","72.44","","154","Africa"
"Moldova","moldova","72.44","","155","Europe"
"Russia","russia","72.44","","156","Central Asia"
"Suriname","suriname","72.42","","157","South America"
"Nepal","nepal","72.40","","158","South Asia"
"Kyrgyzstan","kyrgyzstan","72.35","","159","Central Asia"
"Mexico","mexico","72.32","","160","North America"
"Bhutan","bhutan","72.31","","161","South Asia"
"Guyana","guyana","71.87","","162","South America"
"Turkmenistan","turkmenistan","71.83","","163","Central Asia"
"Korea, North","korea-north","71.77","","164","East and Southeast Asia"
"Mongolia","mongolia","71.37","","165","East and Southeast Asia"
"Togo","togo","71.36","","166","Africa"
"Kosovo","kosovo","71.12","","167","Europe"
"Cambodia","cambodia","70.65","","168","East and Southeast Asia"
"Tanzania","tanzania","70.19","","169","Africa"
"Philippines","philippines","70.14","","170","East and Southeast Asia"
"Senegal","senegal","69.96","","171","Africa"
"Burma","burma","69.92","","172","East and Southeast Asia"
"Timor-Leste","timor-leste","69.92","","173","East and Southeast Asia"
"Gabon","gabon","69.70","","174","Africa"
"Kenya","kenya","69.69","","175","Africa"
"Pakistan","pakistan","69.67","","176","South Asia"
"Papua New Guinea","papua-new-guinea","69.43","","177","East and Southeast Asia"
"Ghana","ghana","69.37","","178","Africa"
"Tajikistan","tajikistan","69.36","","179","Central Asia"
"Uganda","uganda","68.96","","180","Africa"
"Peru","peru","68.94","","181","South America"
"Tuvalu","tuvalu","68.38","","182","Australia and Oceania"
"Ethiopia","ethiopia","68.25","","183","Africa"
"Madagascar","madagascar","68.17","","184","Africa"
"Laos","laos","68.15","","185","East and Southeast Asia"
"Nauru","nauru","67.93","","186","Australia and Oceania"
"Kiribati","kiribati","67.90","","187","Australia and Oceania"
"Gambia, The","gambia-the","67.60","","188","Africa"
"Yemen","yemen","67.51","","189","Middle East"
"Burundi","burundi","67.42","","190","Africa"
"India","india","67.22","","191","South Asia"
"Comoros","comoros","67.20","","192","Africa"
"Sudan","sudan","67.12","","193","Africa"
"Sao Tome and Principe","sao-tome-and-principe","67.06","","194","Africa"
"Eritrea","eritrea","66.85","","195","Africa"
"Namibia","namibia","66.47","","196","Africa"
"Zambia","zambia","66.26","","197","Africa"
"Haiti","haiti","65.95","","198","Central America and the Caribbean"
"Rwanda","rwanda","65.85","","199","Africa"
"Botswana","botswana","65.64","","200","Africa"
"Liberia","liberia","65.45","","201","Africa"
"South Africa","south-africa","65.32","","202","Africa"
"Djibouti","djibouti","65.30","","203","Africa"
"Mauritania","mauritania","65.22","","204","Africa"
"Guinea","guinea","63.90","","205","Africa"
"Equatorial Guinea","equatorial-guinea","63.70","","206","Africa"
"Guinea-Bissau","guinea-bissau","63.68","","207","Africa"
"Burkina Faso","burkina-faso","63.44","","208","Africa"
"Zimbabwe","zimbabwe","63.32","","209","Africa"
"Cameroon","cameroon","63.27","","210","Africa"
"Mali","mali","62.41","","211","Africa"
"Cote d'Ivoire","cote-divoire","62.26","","212","Africa"
"Benin","benin","62.21","","213","Africa"
"Angola","angola","62.11","","214","Africa"
"Congo, Republic of the","congo-republic-of-the","62.10","","215","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","61.83","","216","Africa"
"Nigeria","nigeria","61.33","","217","Africa"
"Niger","niger","60.09","","218","Africa"
"Eswatini","eswatini","59.69","","219","Africa"
"Lesotho","lesotho","59.57","","220","Africa"
"South Sudan","south-sudan","59.16","","221","Africa"
"Chad","chad","59.15","","222","Africa"
"Sierra Leone","sierra-leone","58.76","","223","Africa"
"Mozambique","mozambique","57.10","","224","Africa"
"Somalia","somalia","55.72","","225","Africa"
"Central African Republic","central-african-republic","55.52","","226","Africa"
"Afghanistan","afghanistan","53.65","","227","South Asia"